,State,full,climate_policy_index,ren_share_22,state_ems_change_1621,State_Effective_Tax_Rate,Right_to_work,ind_elec_price,man_share,worker_pay.y,gdp_17_22,cnbc_rank,demshare,demshare_statesenate,demshare_statehouse,dem_governor,dem_statecontrol,subs_m,incent_gdp,corruption_rank,liberal,pro_environment,pro_welfare,pro_race,LCVavg,other_spend_budget,budget_gdp
462,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,4.444993419,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
463,MI,Michigan,0.46898979,10.3,-4.329,0.09,1,24.41,13.94490934,62656.04184,6.9,10,0.514135593,0.526315789,0.509090909,1,1,6626.089836,0.01227285,12,20.2962042,0.634667099,0.229661059,0.29159196,78,29.95383747,11.58491082
464,MN,Minnesota,0.611065747,25.9,-8.719,0.12,1,27.12,15.93121851,68943.28282,6.9,5,0.536395136,0.507462687,0.52238806,1,1,68.408479,0.000180444,3,19.27243163,0.580286026,0.223405064,0.276763279,76,30.52459121,11.44363337
465,UT,Utah,0.361948218,16.1,5.485,0.12,0,20.04,5.636296923,62969.12568,24.3,9,0.393064225,0.206896552,0.186666667,0,0,521.432488,0.002437759,5,11.67467968,0.528880239,0.229153336,0.252328865,18.5,30.04671368,8.772194173
466,MO,Missouri,0.331273592,10.2,-1.736,0.09,1,22.46,24.44848807,61776.21937,8.1,32,0.421641794,0.294117647,0.312883436,0,0,NA,NA,35,16.42127773,0.530996859,0.229259496,0.282745315,29,23.54117783,8.072841999
467,MO,Missouri,0.331273592,10.2,-1.736,0.09,1,22.46,9.175106789,61776.21937,8.1,32,0.421641794,0.294117647,0.312883436,0,0,NA,NA,35,16.42127773,0.530996859,0.229259496,0.282745315,29,23.54117783,8.072841999
468,OR,Oregon,0.687848302,18.8,2.317,0.11,1,19.96,9.844633439,72774.82964,12.9,21,0.58307157,0.566666667,0.583333333,1,1,1172.804994,0.004604501,1,22.02677354,0.579163671,0.233981293,0.302051609,84.5,58.08449139,19.76299634
469,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,6.80497308,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
470,MD,Maryland,0.61952072,4.2,-13.055,0.11,1,29.33,10.15161604,73739.20726,3.1,22,0.67029047,0.723404255,0.723404255,1,1,238.360603,0.000578149,27,24.9727605,0.562535703,0.262152779,0.36965194,92.5,26.21039387,11.72304619
471,UT,Utah,0.361948218,16.1,5.485,0.12,0,20.04,9.324813888,62969.12568,24.3,9,0.393064225,0.206896552,0.186666667,0,0,521.432488,0.002437759,5,11.67467968,0.528880239,0.229153336,0.252328865,18.5,30.04671368,8.772194173
472,TX,Texas,0.337290444,29.5,1.003,0.09,0,20.89,5.482152928,69643.50291,15.4,6,0.471692788,0.35483871,0.426666667,0,0,2004.947997,0.001042069,18,14.94194945,0.475048274,0.259371388,0.313956512,16.5,7.705398685,6.109622005
473,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,6.634454873,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
474,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,8.595638026,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
475,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,9.555882069,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
