Full,Industry,Jobs
Nevada,      Real estate and rental and leasing,130455
Nevada,"      Professional, scientific, and technical services",121060
Nevada,      Management of companies and enterprises,37971
Nevada,      Administrative and support and waste management and remediation services,146587
Nevada,      Educational services,23945
Nevada,      Health care and social assistance,170804
Nevada,"      Arts, entertainment, and recreation",61968
Nevada,      Accommodation and food services,314012
Nevada,      Other services (except government and government enterprises),99734
Nevada,    Government and government enterprises,181992
New Hampshire,Employment by place of work,
New Hampshire,Total employment (number of jobs),933022
New Hampshire,By industry,
New Hampshire,  Farm employment,5194
New Hampshire,"      Forestry, fishing, and related activities",2788
New Hampshire,"      Mining, quarrying, and oil and gas extraction",1278
New Hampshire,      Utilities,2272
New Hampshire,      Construction,58058
New Hampshire,      Manufacturing,74062
New Hampshire,      Wholesale trade,35261
New Hampshire,      Retail trade,109329
New Hampshire,      Transportation and warehousing,28866
New Hampshire,      Information,16356
New Hampshire,      Finance and insurance,51078
New Hampshire,      Real estate and rental and leasing,51578
New Hampshire,"      Professional, scientific, and technical services",75600
New Hampshire,      Management of companies and enterprises,11786
New Hampshire,      Administrative and support and waste management and remediation services,51183
New Hampshire,      Educational services,32514
New Hampshire,      Health care and social assistance,104147
New Hampshire,"      Arts, entertainment, and recreation",23547
New Hampshire,      Accommodation and food services,63441
New Hampshire,      Other services (except government and government enterprises),45029
New Hampshire,    Government and government enterprises,89655
New Jersey,Employment by place of work,
New Jersey,Total employment (number of jobs),5905843
New Jersey,By industry,
New Jersey,  Farm employment,16473
New Jersey,"      Forestry, fishing, and related activities",6743
New Jersey,"      Mining, quarrying, and oil and gas extraction",3170
New Jersey,      Utilities,16161
New Jersey,      Construction,268659
New Jersey,      Manufacturing,266311
New Jersey,      Wholesale trade,243182
